card_id,rare,recording,title,name,sortie_cost,cc_cost,symbol1,symbol2,gender,weapon,type1,type2,type3,type4,n_skill_name1,n_skill_name2,n_skill_name3,n_skill_name4,n_skill_text1,n_skill_text2,n_skill_text3,n_skill_text4,s_skill_name1,s_skill_name2,s_skill_text1,s_skill_text2,c_power,s_power,range,class,job,flavor,illustrator
B01-001,SR,B01,救国の英雄,マルス,5,4,光の剣,,男,剣,,,,,英雄の凱歌,ファルシオン,,,"【,自分の手札から『マルス』を１枚退避エリアに置く】次の相手のターン終了まで、すべての味方の戦闘力は＋３０される。",このユニットが<竜>を攻撃している場合、このユニットの戦闘力は＋２０される。,,,,,,,70,20,1,上級職,スターロード,ファルシオン…ぼくに力を！暗黒竜メディウスを永遠の闇に葬り去る力を！,箱田真紀
B01-001,SR+,B01,救国の英雄,マルス,5,4,光の剣,,男,剣,,,,,英雄の凱歌,ファルシオン,,,"【,自分の手札から『マルス』を１枚退避エリアに置く】次の相手のターン終了まで、すべての味方の戦闘力は＋３０される。",このユニットが<竜>を攻撃している場合、このユニットの戦闘力は＋２０される。,,,,,,,70,20,1,上級職,スターロード,ファルシオン…ぼくに力を！暗黒竜メディウスを永遠の闇に葬り去る力を！,箱田真紀
B01-002,N,B01,亡国の王子,マルス,2,,光の剣,,男,剣,,,,,英雄の資質,,,,<光の剣>の味方が他に２体以上いる場合、このユニットの戦闘力は＋１０される。,,,,,,,,50,20,1,下級職,ロード,父上の遺志をついで…世界に光を取り戻してみせる！,藤川祥
B01-003,HN,B01,アリティアの王子,マルス,1,,光の剣,,男,剣,,,,,若き英雄,,,,"【,他の味方を１体行動済みにする】敵を１体選び、移動させる。このスキルはこのユニットが前衛でなければ使用できない。",,,,英雄の紋章,,自分の攻撃ユニットが<光の剣>の場合、戦闘終了まで、そのユニットが攻撃で破壊するオーブは２つになる。,,40,20,1,下級職,ロード,神剣ファルシオンを取り戻しドルーアを倒すのがアリティア王子たるぼくのさだめ――,コザキユースケ
S01-001,ST,S01,スターロード,マルス,4,3,光の剣,,男,剣,,,,,光の王子,ファルシオン,,,出撃コストが２以下の味方が出撃した時、後衛の敵を１体選び、移動させてもよい。,このユニットが<竜>を攻撃している場合、このユニットの戦闘力は＋２０される。,,,,,,,70,20,1,上級職,スターロード,ドルーアを討ち破ってみせる…このファイアーエムブレムにかけて！,コザキユースケ
S01-001,ST+,S01,スターロード,マルス,4,3,光の剣,,男,剣,,,,,光の王子,ファルシオン,,,出撃コストが２以下の味方が出撃した時、後衛の敵を１体選び、移動させてもよい。,このユニットが<竜>を攻撃している場合、このユニットの戦闘力は＋２０される。,,,,,,,70,20,1,上級職,スターロード,ドルーアを討ち破ってみせる…このファイアーエムブレムにかけて！,コザキユースケ
S01-002,ST,S01,戦場を翔ける王女,シーダ,3,2,光の剣,,女,槍,飛行,竜,,,飛竜の翼,手槍,,,出撃コストが２以下の味方が出撃するたび、味方を好きな数だけ選び、移動させてもよい。,【】ターン終了まで、このユニットに射程１-２が追加される。,,,,,,,50,30,1,上級職,ドラゴンナイト,こんな悲しい戦いを早く終わらせたいのです。,四季童子
S01-002,ST+,S01,戦場を翔ける王女,シーダ,3,2,光の剣,,女,槍,飛行,竜,,,飛竜の翼,手槍,,,出撃コストが２以下の味方が出撃するたび、味方を好きな数だけ選び、移動させてもよい。,【】ターン終了まで、このユニットに射程１-２が追加される。,,,,,,,50,30,1,上級職,ドラゴンナイト,こんな悲しい戦いを早く終わらせたいのです。,四季童子
S01-003,ST,S01,忠義の古強者,ジェイガン,3,2,光の剣,,男,槍,獣馬,,,,戦場の教育役,,,,このカードは絆エリアに置くことができない。,,,,,,,,70,20,1,上級職,パラディン,王子、ご無事で何よりです。,Azusa
S01-004,ST,S01,剛剣の使い手,オグマ,3,2,光の剣,,男,剣,,,,,タリス王国軍の隊長,サンダーソード,,,出撃コストが２以下の味方が出撃するたび、ターン終了まで、このユニットとその味方の戦闘力は＋１０される。,【】ターン終了まで、このユニットの戦闘力は-１０され、このユニットに<魔法>と射程１-２が追加される。,,,,,,,60,10,1,上級職,勇者,貴様とは、いずれケリをつけねばと思っていた。,藤川祥
S01-004,ST+,S01,剛剣の使い手,オグマ,3,2,光の剣,,男,剣,,,,,タリス王国軍の隊長,サンダーソード,,,出撃コストが２以下の味方が出撃するたび、ターン終了まで、このユニットとその味方の戦闘力は＋１０される。,【】ターン終了まで、このユニットの戦闘力は-１０され、このユニットに<魔法>と射程１-２が追加される。,,,,,,,60,10,1,上級職,勇者,貴様とは、いずれケリをつけねばと思っていた。,藤川祥
S01-005,ST,S01,必殺剣の使い手,ナバール,3,2,光の剣,,男,剣,,,,,キルソード,孤高の剣士,,,【】ターン終了まで、このユニットの攻撃は神速回避されない。,このユニットと自分の主人公の他に味方が１体もいない場合、このユニットの戦闘力は＋１０される。,,,,,,,60,10,1,上級職,ソードマスター,かわいそうだが死んでもらう。,yuma
S01-005,ST+,S01,必殺剣の使い手,ナバール,3,2,光の剣,,男,剣,,,,,キルソード,孤高の剣士,,,【】ターン終了まで、このユニットの攻撃は神速回避されない。,このユニットと自分の主人公の他に味方が１体もいない場合、このユニットの戦闘力は＋１０される。,,,,,,,60,10,1,上級職,ソードマスター,かわいそうだが死んでもらう。,yuma
B01-003,ST,B01,アリティアの王子,マルス,1,,光の剣,,男,剣,,,,,若き英雄,,,,"【,他の味方を１体行動済みにする】敵を１体選び、移動させる。このスキルはこのユニットが前衛でなければ使用できない。",,,,英雄の紋章,,自分の攻撃ユニットが<光の剣>の場合、戦闘終了まで、そのユニットが攻撃で破壊するオーブは２つになる。,,40,20,1,下級職,ロード,神剣ファルシオンを取り戻しドルーアを倒すのがアリティア王子たるぼくのさだめ――,コザキユースケ
B01-003,ST+,B01,アリティアの王子,マルス,1,,光の剣,,男,剣,,,,,若き英雄,,,,"【,他の味方を１体行動済みにする】敵を１体選び、移動させる。このスキルはこのユニットが前衛でなければ使用できない。",,,,英雄の紋章,,自分の攻撃ユニットが<光の剣>の場合、戦闘終了まで、そのユニットが攻撃で破壊するオーブは２つになる。,,40,20,1,下級職,ロード,神剣ファルシオンを取り戻しドルーアを倒すのがアリティア王子たるぼくのさだめ――,コザキユースケ
B01-004,SR,B01,愛を説く翼,シーダ,4,3,光の剣,,女,槍,飛行,獣馬,,,説得,天空を翔ける者,,,【】このユニットの攻撃で敵を撃破した時、コストを支払うなら、自分のデッキから『シーダ』以外で<光の剣>のカードを１枚選び、公開してから手札に加える。その後、デッキをシャッフルする。,このユニットを移動させる。このスキルはこのユニットが未行動でなければ使用できない。,,,,,,,60,30,1,上級職,ファルコンナイト,あなたは愛を信じますか？あなたに愛する人がいますか？,まよ
B01-004,SR+,B01,愛を説く翼,シーダ,4,3,光の剣,,女,槍,飛行,獣馬,,,説得,天空を翔ける者,,,【】このユニットの攻撃で敵を撃破した時、コストを支払うなら、自分のデッキから『シーダ』以外で<光の剣>のカードを１枚選び、公開してから手札に加える。その後、デッキをシャッフルする。,このユニットを移動させる。このスキルはこのユニットが未行動でなければ使用できない。,,,,,,,60,30,1,上級職,ファルコンナイト,あなたは愛を信じますか？あなたに愛する人がいますか？,まよ
B01-005,N,B01,心癒やす翼,シーダ,2,,光の剣,,女,槍,飛行,獣馬,,,ウイングスピア,天空の運び手,,,このユニットが<獣馬>か<アーマー>を攻撃している場合、このユニットの戦闘力は＋２０される。,【】他の味方を１体選び、移動させる。,,,,,,,40,30,1,下級職,ペガサスナイト,どうか、わたしたちに力を貸してください。,まよ
B01-006,HN,B01,タリスの王女,シーダ,1,,光の剣,,女,槍,飛行,獣馬,,,王女のカリスマ,,,,"【,他の味方を１体行動済みにする】他の味方を１体選ぶ。ターン終了まで、その味方の戦闘力は＋１０される。",,,,天空の紋章,,自分の攻撃ユニット以外の味方を１体選ぶ。その味方を移動させてもよい。,,30,30,1,下級職,ペガサスナイト,マルスさま、会えてよかった。,四季童子
B01-006,ST,B01,タリスの王女,シーダ,1,,光の剣,,女,槍,飛行,獣馬,,,王女のカリスマ,,,,"【,他の味方を１体行動済みにする】他の味方を１体選ぶ。ターン終了まで、その味方の戦闘力は＋１０される。",,,,天空の紋章,,自分の攻撃ユニット以外の味方を１体選ぶ。その味方を移動させてもよい。,,30,30,1,下級職,ペガサスナイト,マルスさま、会えてよかった。,四季童子
B01-007,R,B01,猛牛と呼ばれし騎士,カイン,3,2,光の剣,,男,剣,獣馬,,,,聖騎士の加護,赤緑の双撃,,,後衛の敵はこのユニットと出撃コストが２以下の味方を攻撃できない。,【味方の『アベル』を行動済みにする】このユニットが攻撃した時、コストを支払うなら、戦闘終了まで、このユニットの戦闘力は＋４０される。,,,,,,,60,10,1,上級職,パラディン,我が一撃、受けてみよ！,あおじ
B01-007,ST,B01,猛牛と呼ばれし騎士,カイン,3,2,光の剣,,男,剣,獣馬,,,,聖騎士の加護,赤緑の双撃,,,後衛の敵はこのユニットと出撃コストが２以下の味方を攻撃できない。,【味方の『アベル』を行動済みにする】このユニットが攻撃した時、コストを支払うなら、戦闘終了まで、このユニットの戦闘力は＋４０される。,,,,,,,60,10,1,上級職,パラディン,我が一撃、受けてみよ！,あおじ
B01-008,N,B01,赤の騎士,カイン,1,,光の剣,,男,剣,獣馬,,,,赤と緑の絆,,,,このユニットが『アベル』に支援されている場合、このユニットの戦闘力は＋３０される。,,,,攻撃の紋章,,戦闘終了まで、自分の攻撃ユニットの戦闘力は＋２０される。,,40,10,1,下級職,ソシアルナイト,我らが祖国、アリティアに栄光あれ！,あおじ
B01-008,ST,B01,赤の騎士,カイン,1,,光の剣,,男,剣,獣馬,,,,赤と緑の絆,,,,このユニットが『アベル』に支援されている場合、このユニットの戦闘力は＋３０される。,,,,攻撃の紋章,,戦闘終了まで、自分の攻撃ユニットの戦闘力は＋２０される。,,40,10,1,下級職,ソシアルナイト,我らが祖国、アリティアに栄光あれ！,あおじ
B01-009,R,B01,黒豹と呼ばれし騎士,アベル,3,2,光の剣,,男,槍,獣馬,,,,聖騎士の加護,緑赤の双撃,,,後衛の敵はこのユニットと出撃コストが２以下の味方を攻撃できない。,【味方の『カイン』を行動済みにする】このユニットが攻撃した時、コストを支払うなら、戦闘終了まで、このユニットの戦闘力は＋４０される。,,,,,,,60,10,1,上級職,パラディン,我が一閃、受けてみよ！,風間雷太
B01-009,ST,B01,黒豹と呼ばれし騎士,アベル,3,2,光の剣,,男,槍,獣馬,,,,聖騎士の加護,緑赤の双撃,,,後衛の敵はこのユニットと出撃コストが２以下の味方を攻撃できない。,【味方の『カイン』を行動済みにする】このユニットが攻撃した時、コストを支払うなら、戦闘終了まで、このユニットの戦闘力は＋４０される。,,,,,,,60,10,1,上級職,パラディン,我が一閃、受けてみよ！,風間雷太
B01-010,N,B01,緑の騎士,アベル,1,,光の剣,,男,槍,獣馬,,,,緑と赤の絆,,,,このユニットが『カイン』に支援されている場合、このユニットの戦闘力は＋３０される。,,,,攻撃の紋章,,戦闘終了まで、自分の攻撃ユニットの戦闘力は＋２０される。,,40,10,1,下級職,ソシアルナイト,王子をお護りする…それがエリス様との約束です。,風間雷太
B01-010,ST,B01,緑の騎士,アベル,1,,光の剣,,男,槍,獣馬,,,,緑と赤の絆,,,,このユニットが『カイン』に支援されている場合、このユニットの戦闘力は＋３０される。,,,,攻撃の紋章,,戦闘終了まで、自分の攻撃ユニットの戦闘力は＋２０される。,,40,10,1,下級職,ソシアルナイト,王子をお護りする…それがエリス様との約束です。,風間雷太
B01-011,HN,B01,アリティアの盾,ドーガ,3,2,光の剣,,男,槍,アーマー,,,,鉄壁の盾,重装の心得,,,【】他の味方が攻撃された時、コストを支払うなら、このユニットはその味方の代わりに攻撃される。このスキルはこのユニットが前衛でなければ発動しない。,このユニットが<魔法>以外に攻撃されている場合、このユニットの戦闘力は＋２０される。,,,,,,,50,10,1,上級職,ジェネラル,一兵たりとも通さん！,ホマ蔵
B01-012,N,B01,護りの騎士,ドーガ,1,,光の剣,,男,槍,アーマー,,,,重装の心得,,,,このユニットが<魔法>以外に攻撃されている場合、このユニットの戦闘力は＋２０される。,,,,防御の紋章,,戦闘終了まで、自分の防御ユニットの戦闘力は＋２０される。,,30,10,1,下級職,アーマーナイト,お護り致します。この命に代えても。,ホマ蔵
B01-012,ST,B01,護りの騎士,ドーガ,1,,光の剣,,男,槍,アーマー,,,,重装の心得,,,,このユニットが<魔法>以外に攻撃されている場合、このユニットの戦闘力は＋２０される。,,,,防御の紋章,,戦闘終了まで、自分の防御ユニットの戦闘力は＋２０される。,,30,10,1,下級職,アーマーナイト,お護り致します。この命に代えても。,ホマ蔵
B01-013,HN,B01,同盟軍の弓騎士,ゴードン,3,2,光の剣,,男,弓,,,,,牽制射撃,飛行特効,,,出撃コストが２以下の味方が出撃するたび、<飛行>の敵を１体選び、移動させてもよい。,このユニットが<飛行>を攻撃している場合、このユニットの戦闘力は＋３０される。,,,,,,,50,20,2,上級職,スナイパー,一度はなくしたはずの命…こうしてお役に立てるなら。,紺藤ココン
B01-013,ST,B01,同盟軍の弓騎士,ゴードン,3,2,光の剣,,男,弓,,,,,牽制射撃,飛行特効,,,出撃コストが２以下の味方が出撃するたび、<飛行>の敵を１体選び、移動させてもよい。,このユニットが<飛行>を攻撃している場合、このユニットの戦闘力は＋３０される。,,,,,,,50,20,2,上級職,スナイパー,一度はなくしたはずの命…こうしてお役に立てるなら。,紺藤ココン
B01-014,N,B01,解放軍の弓兵,ゴードン,1,,光の剣,,男,弓,,,,,鋼の弓,飛行特効,,,【】ターン終了まで、このユニットの戦闘力は＋１０される。,このユニットが<飛行>を攻撃している場合、このユニットの戦闘力は＋３０される。,,,攻撃の紋章,,戦闘終了まで、自分の攻撃ユニットの戦闘力は＋２０される。,,30,20,2,下級職,アーチャー,この距離なら…外さない！,紺藤ココン
B01-014,ST,B01,解放軍の弓兵,ゴードン,1,,光の剣,,男,弓,,,,,鋼の弓,飛行特効,,,【】ターン終了まで、このユニットの戦闘力は＋１０される。,このユニットが<飛行>を攻撃している場合、このユニットの戦闘力は＋３０される。,,,攻撃の紋章,,戦闘終了まで、自分の攻撃ユニットの戦闘力は＋２０される。,,30,20,2,下級職,アーチャー,この距離なら…外さない！,紺藤ココン
B01-015,N,B01,癒やしの僧,リフ,1,,光の剣,,男,杖,,,,,きずぐすり,,,,"【,このユニットを撃破する】他の味方が攻撃された時、コストを支払うなら、戦闘終了まで、その防御ユニットの戦闘力は＋２０される。",,,,祈りの紋章,,戦闘終了まで、相手の攻撃ユニットは必殺攻撃できない。,,30,20,,下級職,僧侶,私は僧侶リフ。戦いはできませんが傷を癒やすことができます。,獅子猿
B01-016,SR,B01,タリスの闘神,オグマ,4,3,光の剣,,男,剣,,,,,戦場の息吹,闘神の一撃,,,【他の味方を１体行動済みにする】ターン終了まで、このユニットの戦闘力は＋１０される。,このユニットが攻撃した時、このユニットの戦闘力が１００以上の場合、ターン終了まで、このユニットが攻撃で破壊するオーブは２つになる。,,,,,,,70,10,1,上級職,勇者,おれは、姫に救われた。命だけじゃない、もっと大切なものを姫からもらった。,ヒロアキ
