アクア,あくあ
アサエロ,あさえろ
アシュラ,あしゅら
アシュナード,あしゅなーど
アスタテューヌ,あすたてゅーぬ
アサマ,あさま
アスタルテ,あすたるて
アストール,あすとーる
アウグスト,あうぐすと
アスレイ,あすれい
アストリア,あすとりあ
アゼル,あぜる
アスベル,あすべる
アズール,あずーる
アテナ,あてな
アッシュ,あっしゅ
アトラス,あとらす
アトス,あとす
アネット,あねっと
アベル,あべる
アイク,あいく
アミッド,あみっど
アムリタ,あむりた
アリオーン,ありおーん
アメリア,あめりあ
アラン,あらん
アリス,ありす
アルテナ,あるてな
アル,ある
アルム,あるむ
アルヴィス,あるゔぃす
アルフォンス,あるふぉんす
アレス,あれす
アロイス,あろいす
アレン,あれん
アレク,あれく
アーサー,あーさー
イエリッツァ,いえりっつぁ
アンナ,あんな
アーダン,あーだん
イグナーツ,いぐなーつ
アイラ,あいら
イグニス,いぐにす
イグレーヌ,いぐれーぬ
イシュタル,いしゅたる
イザナ,いざな
イドゥン,いどぅん
イナ,いな
イレース,いれーす
イングリット,いんぐりっと
インバース,いんばーす
ウェンディ,うぇんでぃ
ウィル,うぃる
イズカ,いずか
ウェンデル,うぇんでる
ウハラダ,うはらだ
ウォルト,うぉると
ウルスラ,うるすら
ウルフ,うるふ
ウルキ,うるき
ウード,うーど
エイリーク,えいりーく
エキドナ,えきどな
エイル,えいる
エクセライ,えくせらい
エスト,えすと
エスリン,えすりん
エッツェル,えっつぇる
エディ,えでぃ
エクラ,えくら
エフィ,えふぃ
エフィデル,えふぃでる
エダ,えだ
エポニーヌ,えぽにーぬ
エフラム,えふらむ
エメリナ,えめりな
エリウッド,えりうっど
エリウ,えりう
エマ,えま
エリス,えりす
エリーゼ,えりーぜ
エリンシア,えりんしあ
エルトシャン,えるとしゃん
エルク,えるく
エルフィ,えるふぃ
エルナ,えるな
エルラン,えるらん
エルフィン,えるふぃん
エレン,えれん
エルレーン,えるれーん
エーデルガルト,えーでるがると
エーディン,えーでぃん
オイフェ,おいふぇ
エーヴェル,えーゔぇる
オスカー,おすかー
オグマ,おぐま
オズイン,おずいん
オフェリア,おふぇりあ
オボロ,おぼろ
オリヴァー,おりゔぁー
オロチ,おろち
オルエン,おるえん
オルティナ,おるてぃな
オリヴィエ,おりゔぃえ
オージェ,おーじぇ
オルグ,おるぐ
オーシン,おーしん
カアラ,かあら
オーディン,おーでぃん
カイネギス,かいねぎす
カイル,かいる
カゲロウ,かげろう
カイン,かいん
カザハナ,かざはな
カスパル,かすぱる
カシム,かしむ
カタリナ,かたりな
カチュア,かちゅあ
カトリーヌ,かとりーぬ
カミュ,かみゅ
カミラ,かみら
カムイ,かむい
カムイ（女）,かむい（女）
カムイ（男）,かむい（男）
カムイ（透魔王国）,かむい（透魔王国）
カリル,かりる
カナス,かなす
カンナ（女）,かんな（女）
カラム,からむ
カレル,かれる
カンナ（男）,かんな（男）
カリン,かりん
ガウェイン,がうぇいん
ガイア,がいあ
ガトリー,がとりー
ガトー,がとー
ガルシア,がるしあ
ガント,がんと
ガロン,がろん
キサ,きさ
ガーネフ,がーねふ
キサラギ,きさらぎ
ガンズ,がんず
キャス,きゃす
キュアン,きゅあん
キルロイ,きるろい
キルマー,きるまー
ギネヴィア,ぎねゔぃあ
キヌ,きぬ
ギィ,ぎぃ
ギリアム,ぎりあむ
ギャンレル,ぎゃんれる
ギュンター,ぎゅんたー
ギルベルト,ぎるべると
クライネ,くらいね
クリス（女）,くりす（女）
ギムレー,ぎむれー
クラリーネ,くらりーね
クリス（男）,くりす（男）
クリフ,くりふ
クリムゾン,くりむぞん
クルトナーガ,くるとなーが
クレイン,くれいん
クレア,くれあ
クロニエ,くろにえ
クロード,くろーど
クロム,くろむ
クレーベ,くれーべ
クーガー,くーがー
クロード（フォドラ）,くろーど（ふぉどら）
グレイル,ぐれいる
グレイ,ぐれい
グレゴ,ぐれご
グレイ（バレンシア）,ぐれい（ばれんしあ）
グローメル,ぐろーめる
コンスタンツェ,こんすたんつぇ
ケント,けんと
ゲイル,げいる
コンラート,こんらーと
ケビン,けびん
コーマ,こーま
コープル,こーぷる
ゴート,ごーと
ゴーゴン,ごーごん
サイアス,さいあす
ゴンザレス,ごんざれす
サイゾウ,さいぞう
サイラス,さいらす
ゴードン,ごーどん
サウル,さうる
サイリ,さいり
サジ,さじ
サクラ,さくら
サザ,さざ
サフィ,さふぃ
サムソン,さむそん
サレフ,されふ
サナキ,さなき
サムトー,さむとー
サラ,さら
サーリャ,さーりゃ
シェイド,しぇいど
シェンメイ,しぇんめい
シオン,しおん
シグルーン,しぐるーん
ザガロ,ざがろ
シグルド,しぐるど
シノノメ,しののめ
シノン,しのん
シャナム,しゃなむ
シャニー,しゃにー
シャナン,しゃなん
シャラ,しゃら
シャミア,しゃみあ
シャルロー,しゃるろー
シグレ,しぐれ
シャロン,しゃろん
シャンブレー,しゃんぶれー
シリウス,しりうす
シャーロッテ,しゃーろって
シルヴィア,しるゔぃあ
シルク,しるく
シルヴァン,しるゔぁん
シレーネ,しれーね
シンシア,しんしあ
シン,しん
シヴァ,しゔぁ
シーマ,しーま
ジェイガン,じぇいがん
シーダ,しーだ
ジェシー,じぇしー
ジェニー,じぇにー
ジェイク,じぇいく
ジェラルト,じぇらると
ジェローム,じぇろーむ
ジェミー,じぇみー
ジャムカ,じゃむか
ジャファル,じゃふぁる
ジスト,じすと
ジャンヌ,じゃんぬ
ジュリアン,じゅりあん
ジョーカー,じょーかー
ジュダ,じゅだ
ジョフレ,じょふれ
ジョルジュ,じょるじゅ
ジーク,じーく
ジークベルト,じーくべると
ジード,じーど
スカサハ,すかさは
スカビオサ,すかびおさ
スクリミル,すくりみる
ステラ,すてら
スズカゼ,すずかぜ
スミア,すみあ
ジル,じる
スメラギ,すめらぎ
スー,すー
セイロス,せいろす
セイン,せいん
セシリア,せしりあ
スルト,すると
スラシル,すらしる
セティ,せてぃ
セネリオ,せねりお
セフェラン,せふぇらん
セテス,せてす
セライナ,せらいな
セリス,せりす
セリカ,せりか
セルディア,せるでぃあ
セルフィナ,せるふぃな
セルジュ,せるじゅ
セツナ,せつな
セーバー,せーばー
セレナ,せれな
ゼト,ぜと
ゼルギウス,ぜるぎうす
ゼロ,ぜろ
セーラ,せーら
ゼロット,ぜろっと
ゼフィール,ぜふぃーる
ソニア,そにあ
ソフィーヤ,そふぃーや
ソレイユ,それいゆ
ソーニャ,そーにゃ
ソワレ,そわれ
ソティス,そてぃす
ソール,そーる
ゾフィー,ぞふぃー
ソーンバルケ,そーんばるけ
タクミ,たくみ
ソーン,そーん
タニス,たにす
タウロニオ,たうろにお
ゾーラ,ぞーら
ターナ,たーな
ダグラス,だぐらす
ダヤン,だやん
ダラハウ,だらはう
ダリオス,だりおす
ダロス,だろす
チェイニー,ちぇいにー
タニア,たにあ
チャップ,ちゃっぷ
ツィリル,つぃりる
チャド,ちゃど
ツイハーク,ついはーく
ティアマト,てぃあまと
ツバキ,つばき
ツクヨミ,つくよみ
チキ,ちき
ティアモ,てぃあも
ティナ,てぃな
ティニー,てぃにー
ティバーン,てぃばーん
ティータ,てぃーた
ティルテュ,てぃるてゅ
テティス,ててぃす
ディアドラ,でぃあどら
ティト,てぃと
ディミトリ,でぃみとり
ディーア,でぃーあ
ティーナ,てぃーな
ディートバ,でぃーとば
ディーン,でぃーん
ディーン（ユグドラル）,でぃーん（ゆぐどらる）
デギンハンザー,でぎんはんざー
ディーク,でぃーく
デュー,でゅー
デイジー,でいじー
デルムッド,でるむっど
デューテ,でゅーて
トラバント,とらばんと
トパック,とぱっく
トリスタン,とりすたん
ドズラ,どずら
ドゥドゥー,どぅどぅー
ドラゴンゾンビ,どらごんぞんび
デジェル,でじぇる
ドニ,どに
ドロテア,どろてあ
ドーガ,どーが
ドロシー,どろしー
ナターシャ,なたーしゃ
ナギ,なぎ
ナンナ,なんな
ナバール,なばーる
ナーシェン,なーしぇん
ドルカス,どるかす
ナーガ,なーが
ナーシル,なーしる
ニケ,にけ
ニシキ,にしき
ニニアン,ににあん
ニイメ,にいめ
ニノ,にの
ニルス,にるす
ニーナ,にーな
ニュクス,にゅくす
ネフェニー,ねふぇにー
ニーヴ,にーゔ
ネサラ,ねさら
ネメシス,ねめしす
ノア,のあ
ネルガル,ねるがる
ノイス,のいす
ノイッシュ,のいっしゅ
ノスフェラトゥ,のすふぇらとぅ
ネイミー,ねいみー
ノルン,のるん
ノワール,のわーる
ハイドラ,はいどら
ノール,のーる
ノノ,のの
ノーマ,のーま
ハロルド,はろるど
ハルヴァン,はるゔぁん
ハンネマン,はんねまん
ハピ,はぴ
ハンニバル,はんにばる
バアトル,ばあとる
ハーディン,はーでぃん
バジーリオ,ばじーりお
バリィ・グッドマン,ばりぃ・ぐっどまん
ハール,はーる
バルタザール,ばるたざーる
バヌトゥ,ばぬとぅ
バルジャン,ばるじゃん
バーツ,ばーつ
バース,ばーす
バルボ,ばるぼ
パイソン,ぱいそん
バール,ばーる
パメラ,ぱめら
パティ,ぱてぃ
パリス,ぱりす
パーン,ぱーん
パント,ぱんと
パーシバル,ぱーしばる
ヒサメ,ひさめ
ヒノカ,ひのか
ヒナタ,ひなた
ヒューベルト,ひゅーべると
ヒュウ,ひゅう
ヒース,ひーす
ヒルダ,ひるだ
ヒーニアス,ひーにあす
パオラ,ぱおら
ピアニー,ぴあにー
ビラク,びらく
ファウダー,ふぁうだー
ファ,ふぁ
ピエリ,ぴえり
ファバル,ふぁばる
フィオーラ,ふぃおーら
ファリナ,ふぁりな
フィル,ふぃる
フィヨルム,ふぃよるむ
フィン,ふぃん
フィーナ,ふぃーな
フウガ,ふうが
ビーゼ,びーぜ
フェトラ,ふぇとら
フェリシア,ふぇりしあ
フェリクス,ふぇりくす
フェルグス,ふぇるぐす
フィー,ふぃー
フェルディナント,ふぇるでぃなんと
フェミナ,ふぇみな
フェルナン,ふぇるなん
フォデス,ふぉです
フェー,ふぇー
フォルス,ふぉるす
フォレオ,ふぉれお
フォルデ,ふぉるで
フランツ,ふらんつ
フォルカ,ふぉるか
フュリー,ふゅりー
フランネル,ふらんねる
フレイ,ふれい
フラヴィア,ふらゔぃあ
フレデリク,ふれでりく
フレッド,ふれっど
フレン,ふれん
フリーダ,ふりーだ
フロリーナ,ふろりーな
フローラ,ふろーら
ブノワ,ぶのわ
フロージ,ふろーじ
ブリギッド,ぶりぎっど
ブルーニャ,ぶるーにゃ
ブライス,ぶらいす
ブレディ,ぶれでぃ
ブルーノ,ぶるーの
プラハ,ぷらは
プリシラ,ぷりしら
プルメリア,ぷるめりあ
ヘクトル,へくとる
ブラッド,ぶらっど
ヘンリー,へんりー
ベウフォレス,べうふぉれす
ヘザー,へざー
ベルクト,べるくと
ベオウルフ,べおうるふ
ベルナデッタ,べるなでった
ベレス,べれす
ベルベット,べるべっと
ベレト,べれと
ペトラ,ぺとら
ベルカ,べるか
ベロア,べろあ
ペレアス,ぺれあす
ホークアイ,ほーくあい
ホルス,ほるす
ボールス,ぼーるす
ボーイ,ぼーい
ホリン,ほりん
マイセン,まいせん
ボーレ,ぼーれ
マカロフ,まかろふ
ポー,ぽー
マクベス,まくべす
マチス,まちす
マシュー,ましゅー
マチュア,まちゅあ
マチルダ,まちるだ
マヌエラ,まぬえら
マトイ,まとい
マジ,まじ
マリアベル,まりあべる
マリアンヌ,まりあんぬ
マリカ,まりか
マリク,まりく
マリア,まりあ
マリーシア,まりーしあ
マリス,まりす
マリータ,まりーた
マンフロイ,まんふろい
マリナス,まりなす
マーカス,まーかす
マークス,まーくす
マーク（女）,まーく（女）
マードック,まーどっく
